Car_Name,KM driven,Year,Fuel,Transmission,Price,Location
Hyundai NEW I20 ASTA 1.0 GDI TURBO DCT,"71,197",2020,Petrol,Automatic,7,Mumbai
Hyundai NEW SANTRO SPORTZ MT,"39,944",2018,Petrol,Manual,3.2,Dombivli East
Hyundai VENUE S+ 1.2,"34,022",2022,Petrol,Manual,7.06,Mumbai
Hyundai i10 ASTA 1.2 AT SUNROOF,"31,273",2013,Petrol,Automatic,2.53,Mumbai
Hyundai NEW SANTRO SPORTZ EXECUTIVE MT CNG,"82,360",2021,CNG,Manual,3.79,Mumbai
Hyundai Creta SX PLUS 1.6 PETROL,"88,646",2016,CNG,Manual,6.21,Mumbai
Hyundai Elite i20 SPORTZ 1.4 CRDI,"41,547",2015,Diesel,Manual,4.59,E Mumbai
Hyundai GRAND I10 NIOS ASTA AMT 1.2 KAPPA VTVT,"34,018",2022,Petrol,Automatic,6.61,Mumbai
Hyundai i20 SPORTZ 1.2,"76,651",2012,Petrol,Manual,2.31,Mumbai
Hyundai Elite i20 MAGNA EXECUTIVE CVT,"26,607",2018,Petrol,Automatic,5.61,Seawood
Hyundai Creta S 1.4 DIESEL,"81,304",2019,Diesel,Manual,8.62,Mumbai
Hyundai Creta SX PLUS AT 1.6 PETROL,"56,007",2018,Petrol,Automatic,7.25,E Mumbai
Hyundai AURA SX PLUS 1.2 AMT CRDI,"57,572",2020,Diesel,Automatic,6.5,Mumbai
Hyundai VENUE SX 1.0 TURBO IMT,"63,694",2020,Petrol,Manual,7.27,Seawood
Hyundai i10 SPORTZ 1.1,"46,962",2014,Petrol,Manual,2.11,Mumbai
Hyundai EXTER SX 1.2 AMT,"6,842",2023,Petrol,Automatic,8,Thane West
Hyundai Grand i10 MAGNA AT 1.2 KAPPA VTVT,"52,993",2017,Petrol,Automatic,4.25,Seawood
Hyundai i10 MAGNA 1.1,"17,870",2013,Petrol,Manual,2.12,Dombivli East
Hyundai i20 Active 1.2 SX,"45,038",2017,Petrol,Manual,4.91,Dombivli East
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"19,032",2014,Petrol,Manual,3.21,Seawood
Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"60,158",2015,Petrol,Automatic,3.25,Mumbai
Hyundai Creta SX 1.6 DIESEL,"93,081",2019,Diesel,Manual,9.29,Mumbai
Hyundai Verna FLUIDIC 1.6 CRDI SX 4S,"62,607",2015,Diesel,Manual,5.76,Dombivli East
Hyundai Elite i20 SPORTZ 1.2,"54,098",2017,Petrol,Manual,4.06,Seawood
